postal_code;municipality;rent;size
90100;Oulu;1950;78
00510;Helsinki;330;5
01620;Vantaa;25000;860
00510;Helsinki;690;13
02160;Espoo;8500;313
01800;Nurmijärvi;1950;100
00100;Helsinki;995;20
00100;Helsinki;1100;25
00970;Helsinki;400;10
00250;Helsinki;650;17
00100;Helsinki;1478;40
00550;Helsinki;637;17.5
00150;Helsinki;1150;32
00100;Helsinki;750;21
00140;Helsinki;1153;33
00150;Helsinki;2850;84
00250;Helsinki;908;27
00550;Helsinki;670;20
04200;Kerava;2450;111.5
33500;Tampere;904;45.5
00370;Helsinki;1050;31.5
03100;Vihti;970;36
33500;Tampere;1000;53.5
00500;Helsinki;700;21
33100;Tampere;990;53.5
02160;Espoo;6000;265
33230;Tampere;525;20
20100;Turku;1550;96
20810;Turku;900;48
28100;Pori;2000;130
90100;Oulu;1300;78
00100;Helsinki;1500;45.5
00500;Helsinki;690;21
00100;Helsinki;720;22
00370;Helsinki;620;19
33200;Tampere;541;22.5
00120;Helsinki;1650;52
00100;Helsinki;1995;63
33210;Tampere;895;50.5
33230;Tampere;520;21.5
33500;Tampere;957;55.5
00250;Helsinki;1219;38.5
00150;Helsinki;631;20
00500;Helsinki;627;20
33200;Tampere;1293;83
00150;Helsinki;3990;127.5
00100;Helsinki;1200;38.5
00350;Helsinki;746;24
00160;Helsinki;1150;37
00250;Helsinki;834;27
06100;Porvoo;1200;77
33200;Tampere;525;23.4
70100;Kuopio;2200;134
02580;Siuntio;540;25
00350;Helsinki;894;29
33500;Tampere;662;35
02100;Espoo;1416;55
00530;Helsinki;860;28
00150;Helsinki;1100;36
80160;Joensuu;350;10
15110;Lahti;1200;80
00100;Helsinki;1190;39
00120;Helsinki;1250;41
00250;Helsinki;1507;50
33210;Tampere;504;23
00100;Helsinki;1190;39.5
20100;Turku;1180;56.5
00180;Helsinki;300;10
33100;Tampere;790;33
00160;Helsinki;3200;107
33200;Tampere;520;24.5
20540;Turku;550;27
00840;Helsinki;685;23
20100;Turku;610;32
33800;Tampere;507;23.5
00500;Helsinki;655;22
00270;Helsinki;640;21.5
20100;Turku;1400;98.5
00150;Helsinki;2495;84
00100;Helsinki;1395;47
02100;Espoo;1316;52
20100;Turku;700;40
00500;Helsinki;798;27
33200;Tampere;1210;83
70100;Kuopio;550;27.5
00150;Helsinki;1100;37.5
00350;Helsinki;849;29
33210;Tampere;650;36
00150;Helsinki;950;32.5
00500;Helsinki;680;23.3
00250;Helsinki;670;23
00250;Helsinki;1048;36
00330;Helsinki;1015;35
00250;Helsinki;1084;37.5
00270;Helsinki;635;22
10600;Raasepori;750;45
00150;Helsinki;690;24
33100;Tampere;961;63
03100;Vihti;980;46
00180;Helsinki;2184;76.5
02360;Espoo;4900;250
00530;Helsinki;910;32
00100;Helsinki;1450;51
02320;Espoo;1800;80
00170;Helsinki;1450;51
00150;Helsinki;1200;42.5
00250;Helsinki;790;28
00560;Helsinki;931;33
00250;Helsinki;1029;36.5
33100;Tampere;730;44
04400;Järvenpää;695;41
00270;Helsinki;620;22
